"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"118","Josh Williams (TB)","4","11","2.8","4","0","0","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"119","Jacob Saylors (DET)","2","11","5.5","9","0","0","0","0","0","0","0","0","9","1.1","0.1","0.1%"
"120","Amar Johnson (LAC)","2","8","4.0","6","0","0","1","0","0","0","0","0","1","0.8","0.8","0.0%"
"121","D'Ernest Johnson (NE)","5","7","1.4","5","0","0","0","0","0","0","0","0","3","0.7","0.2","1.0%"
"122","Owen Wright (TB)","3","6","2.0","4","0","0","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"123","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","5","5.0","0","0","5","0.5","0.1","0.6%"
"124","Craig Reynolds (NE)","3","4","1.3","3","0","0","0","0","0","0","0","0","6","0.4","0.1","0.6%"
"125","Sione Vaki (DET)","1","4","4.0","4","0","0","0","0","0","0","0","0","4","0.4","0.1","1.1%"
"126","Patrick Ricard (BAL)","1","3","3.0","3","0","0","0","0","0","0","0","0","6","0.3","0.1","0.8%"
"127","Kendall Milton (CIN)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"128","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","2","2.0","0","0","11","0.2","0.0","0.0%"
"129","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"131","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"132","Jermar Jefferson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"133","Raheem Blackshear (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"134","DeeJay Dallas (CAR)","1","0","0.0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"135","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"136","JaMycal Hasty (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"137","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"138","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","2.9%"
"140","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"141","Michael Wiley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"143","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Cody Schrader (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"145","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"146","Jordan Mims (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Xazavian Valladay (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"148","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"149","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.7%"
"150","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"151","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"152","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Scott Matlock (LAC)","0","0","0","0","0","0","2","2","3","1.5","1","0","10","0.0","0.0","4.6%"
"154","Jack Westover (NE)","0","0","0","0","0","0","1","0","0","0","0","0","12","0.0","0.0","0.0%"
"155","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Evan Hull (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"157","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"158","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"159","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Rushawn Baker (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Anthony Tyus III (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Montrell Johnson Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"168","Ian Wheeler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Colson Yankoff (WAS)","0","0","0","0","0","0","1","1","4","4.0","0","0","9","0.0","0.0","1.1%"
"171","Kalel Mullings (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"172","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"173","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"174","Ulysses Bentley IV (IND)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"177","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"178","Sincere McCormick (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"179","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"180","Jashaun Corbin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"182","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Elijah Mitchell (KC)","0","0","0","0","0","0","1","0","0","0","0","0","1","0.0","0.0","0.7%"
"184","Khalil Herbert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"185","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"187","Audric Estime (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"188","Donovan Edwards (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"189","Corey Kiner (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"190","Deuce Vaughn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"191","Ronnie Rivers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"192","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"193","Velus Jones Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"194","Pierre Strong Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"195","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Myles Gaskin (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Chase Edmonds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"209","Joe Mixon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.1%"
"210","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"212","Andrew Beck (NYJ)","0","0","0","0","0","0","5","4","26","6.5","1","0","11","0.0","0.0","0.0%"
"213","Alexander Mattison (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"214","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"215","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"216","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Trayveon Williams (LAC)","3","-1","-0.3","2","0","0","1","1","0","0.0","0","0","2","-0.1","-0.1","0.0%"
"219","Nyheim Hines (FA)","2","-2","-1.0","1","0","0","0","0","0","0","0","0","3","-0.2","-0.1","0.0%"
"220","Travis Homer (CHI)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","4","-0.2","-0.1","0.6%"
""
""
