"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"269","Ricky White III (SEA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"270","Jacksin Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Efton Chism III (NE)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.6%"
"272","Traeshin Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Jamaal Pritchett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Velus Jones Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"276","Danny Gray (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.9%"
"278","Deven Thompkins (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"279","Brandon Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"280","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Jacoby Jones (WAS)","1","1","25","25.0","25","1","0","0","0","0","0","2","0.0","0.0","0.0%"
"282","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"283","Michael Woods II (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"285","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"286","Ainias Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"287","Jalen McMillan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"288","Simi Fehoko (ARI)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.0%"
"289","Samori Toure (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","DJ Turner (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"291","Tyler Scott (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"292","Jalen Brooks (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"293","Trey Palmer (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"294","Jacob Cowing (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"295","Johnny Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
